id,text,label,notes
1,"I have a question about this interaction. For the card Auntie Ool, Cursewretch. Dose Toxrill, the Corrosive counter trigger her effect. And dose Vorinclex, Monstrous Raider stop the counters from being placed. From her ability.",Rules,
2,"I was wondering about a specific interaction about temporary exiling. So if I had [[Parallax Wave]] and [[Opalescence]] on the field, if played an [[Astral Slide]] and exiled the wave as a creature, would it return like the Slide's effect says, or would it turn back into an enchantment and stay exiled? And if it does come back, do the Fading counters reset?",Rules,
3,"Is [[Arwen, Weaver of Hope]] a nonbo with [[Ezuri, Claw of Progress]] since she says the creatures enter with the counters rather than gain them upon entering?",Rules,
4,"If I were to have a target enchanted with [[Moonlit Meditation]] and then cast [[Foggy Swamp Visions]] waterbending X to create that many tokens, then chose to use Moonlit's effect to instead create X copies of my enchanted permanent would the tokens created still be sacrificed at my end step, or are they freed of that limitation since Moonlit created them and not Visions?",Rules,
5,"I have Ardyn, the Usurper on the battlefield, which gives demons I control menace, lifelink and HASTE. It's second ability says: at the beginning of combat on my turn, I exile a creature card from a graveyard and create a copy of it except it's a 5/5 black Demon. My question is: since this happens just before I declare attacking creatures, does that mean the demon token I just create can attack right away?",Rules,
6,"Deluge virtuoso says that you tap a creature and put a stun counter on it when it enters, if I were to airbend him in and out a bunch with the other 2 cards, would I be able to continuously stack the stun counters on the same creature multiple times, or does it require me to be able to tap the creature to be able to add counters.",Rules,
7,can I use creatures to convoke a spell and also sacrifice them to ashnod's alter to make even more mana for the spell,Rules,
8,"I had Meren out, and used Meren to play Grist from my graveyard. At the same time, my friend had Aetherflash on his side of the board.. the question was whether Aetherflash would kill Grist before he transformed, and if not then would Aetherflash deal two damage to Grist's Planeswalker form? (Grist transforms into a Planeswalker)",Rules,
9,"let's say Sephiroth is the 4th death. Normally he doesn't flip but if I cast Vincent's limit break and bring him back, does he flip because it was the 4th time it happened during that turn?",Rules,
10,"If you use exploit to sacrifice a creature which has a death trigger, which effect happens first, the exploit trigger or the death trigger?",Rules,
11,"If the board wipe hits and kills say 15 creatures and Exquisite Blood, Would that player gain 15 life (from Cruel Celebrant) or 30 life (from both Cruel Celebrant and Exquisite Blood)?",Rules,
12,"If I control a Mycotyrant and my opponent controls Archfiend of Depravity, how would the end step resolve? Would Archfiend resolve first, then allowing Mycotyrant to generate his additional fungus, or would Mycotyrant resolve first causing me to sacrifice down to two creatures on battlefield?",Rules,
13,"So, does the original Shimmercreep's triggers resolve before the tokens are created? Or do the tokens get created first, and have their own Vivid triggers go off.",Rules,
14,"Sublime Archangel and Knight of Glory in field, if attacking with knight does he get exalted *3?",Rules,
15,Can I cast Sonic Assault and target a creature that's tapped?,Rules,
16,Is Ethercaste Knight a artifact and gold creature?,Rules,
17,Will card Sleep affect creatures already tapped?,Rules,
18,Will Zealous Persecution affect a creature with Pro black or white?,Rules,
19,"2/2 with first strike blocks 2/2 with indestructible, does first strike creature die?",Rules,
20,Can you unequip equipment once attached?,Rules,
21,"Can I sac Archbound Ravager to itself to use modular effect, would I also gain the +1/+1 counter?",Rules,
22,"8/8 attacks and is blocked by two 4/4 creature's with first strike, would at least one 4/4 die?",Rules,
23,"Selective Snare, if used for Humans will it affect Human knights and Human soldiers or does opponent have to declare full creature type?",Rules,
24,"If a planeswalker is indestructible and I attack it, will no counters be removed from it?",Rules,
25,"Does Snapdax, Apex of the Hunts mutate ability meet the requirements of using Obash, the Preypiercer as a companion?",Rules,
26,"I use Prey Upon, if a creature has lifelink or deathtouch, does the mechanic go into effect? Are there any others?",Rules,
27,"My opponent cast an enchantment on his turn, when can I use Mortify to destroy it? Can I destroy at anytime or does he have priority till next phase?",Rules,
28,"I have Citadel Siege in play and announced Khans, if a creature of mine isn't able to attack due to summon sickness can I still announce attack phase and get +1/+1 counters?",Rules,
29,"If I play a creature with Riot mechanic and have another spell that gives Riot to my creature's coming into battlefield, does the mechanic stack?",Rules,
30,"Additionally, what if I decide to use [[Rite of Replication]] on a Sakashima of a thousand faces that is currently a copy of another creature? Will the tokens generated be of Sakashima proper or of a crude token copy of whatever creature he is currently pretending to be?",Rules,
31,QUESTION: Does anyone know why equipment that is a creature cannot equip a creature? Is this ruling arbitrary or is there some sort of in-game contradiction or corner case issue that would arise if we did not have this rule?,Rules,Boundary: Rules/Discussion — asks for design reasoning not just what the rule is
32,"If I have Athreos, God of Passageways on field as well as Timothar, Baron of Bats and I sacrifice another vampire, I can either move it back to hand with athreos, or exile it with Timothar. If I opt to send it to hand, and an opponent pays 3 life and sends it to the graveyard, could I exile it with Timothar after that action happens?",Rules,
33,Need some in depth clarification for Teyda Karlov and her interactions thanks guys😁,Rules,Boundary: Rules/Discussion — very vague; classified Rules assuming poster wants mechanical clarification
34,can I gain control of an opponent's commander when it dies?,Rules,
35,"after gaining control of an opponent's creature, if they play a card with the text 'return target creature to its owners / controllers hand' Would it go into my hand or the original controller of the card?",Rules,
36,tried to look this up but was unsuccessful in finding an awnser. If I have a [[caldric soul kindler]] equipped with a [[mirrormind crown]] an I play a legendary permanent I pay the 1 to Caldric and then mirrormind crown makes a copy of him or really anything else I copy does the sac at end of turn clause still apply to the token since it's a replacement effect?,Rules,
37,If I play {{captain n'gathord}} attack dealing damage with horrors milling my opponent and go to the end step and his end of the turn ability triggers am I able to double it with {{strionic resonator}}?,Rules,
38,I liked the cards individually and they're are cool but the question is do they combo together to get infinite green mana?,Rules,Boundary: Rules/Discussion — asking about combo potential has strategic flavor but the core question is mechanical
39,"If i have Phyrexian Dragon Engine & my opponent has Mishra & i steal Mishra until end of turn, but by the end of turn the 2 meld into Mishra, lost to phyrexia. What happens at end of turn???",Rules,
40,[image of commander] So does this mean if I attack with 5 faeries I can goad 5 creatures?,Rules,Boundary: Rules/Memes — includes an image reference but the question is a sincere rules ask
41,Do creatures returning to the battlefield return with summoning sickness if they didn't have it before? Thank you!,Rules,
42,"Okay, so if I have Valkyrie's Call out and I use Dance of the Manse for 6+ and I have 4/4 enchantment creatures, does Valkyrie's Call bring those enchantments back to the battlefield because they were non-angel creatures when they died?",Rules,
43,"If I use a text-changing effect to replace the instance of the word with 'red' to one with 'blue' then allow my Nezumi Linkbreaker to die, would I create a 1/1 blue Mercenary token?",Rules,
44,So I have a Vigor on my board and I full swing at my opponents board. All their creatures have first strike and death touch. How does that interact?,Rules,
45,I have a set of guildgates from previous sets. Would they still be legal for standard use because they were reprinted recently or do dual lands not count for reprinting.,Rules,
46,"If I have [[Leyline of Abundance]] in play and I use the mana ability of [[Jaspera Sentinel]] does it count as having tapped to creatures for mana? Do I add one mana, one and one green? Or one and two green?",Rules,
47,Can i tap attacking creatures to make them not attack?,Rules,
48,What is the difference between a -1 -1 and a -1 -1 counter.,Rules,
49,"With [[Karn Liberated]], [[Skyship Weatherlight]], & [[Ugin, the Spirit Dragon]] I can usually have a few things in exile to pull from in exile with [[Karn, the Great Creator]] (it was my understanding exile was a legal target for his -2). This makes me believe that this is no longer (never has been??) The case. Just looking for clarification before I look silly.",Rules,
50,"[[Blackblade reforged]] and [[Fractal Harness]]. Do they work together? We ruled no, since blackblade doesn't say 'counters'. In any case, WHAT are, mechanically speaking, the +1/+1 from blackblade?",Rules,
51,"For once I feel like I know it, just looking for affirmation or correction. Would the zombies endless ranks of the dead create count for scarab god if they happen at the same time?",Rules,
52,so if i attack with a creature and it deal damage and has the effect when it deal damage you can put a creature into play and that creature i bring out has if you deal combat damage draw a card. do i get the draw or not?,Rules,
53,When do state based actions apply in regards to the stack?,Rules,
54,How does it work when 1 player uses lifelink and the other uses a creature with deathtouch and trample?,Rules,
